_id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
6a38f972aecc97d5c44968cd,Female,24,1,6.0,1,< 1 Year,No,31269.0,152.0,27,0.0
6a38f971aecc97d5c448ca6a,Male,21,1,41.0,1,< 1 Year,No,50788.0,152.0,103,0.0
6a38f972aecc97d5c44a1ed6,Female,51,1,28.0,1,1-2 Year,Yes,30403.0,26.0,102,0.0
6a38f972aecc97d5c4491c0b,Male,27,1,41.0,1,< 1 Year,No,37552.0,152.0,189,0.0
6a38f972aecc97d5c44a7aad,Female,27,1,28.0,1,< 1 Year,No,28332.0,152.0,296,0.0
6a38f972aecc97d5c44a82fc,Female,21,1,30.0,1,< 1 Year,No,38194.0,152.0,169,0.0
6a38f972aecc97d5c44a96d5,Female,42,1,28.0,0,1-2 Year,Yes,49610.0,124.0,239,0.0
6a38f972aecc97d5c44a0327,Male,59,1,11.0,0,1-2 Year,Yes,2630.0,29.0,261,0.0
6a38f972aecc97d5c44a4162,Male,53,1,8.0,0,1-2 Year,Yes,51292.0,26.0,125,0.0
6a38f972aecc97d5c449034b,Male,60,1,25.0,1,1-2 Year,Yes,2630.0,26.0,64,0.0
6a38f973aecc97d5c44b20ba,Male,34,1,28.0,0,1-2 Year,Yes,2630.0,156.0,111,1.0
6a38f972aecc97d5c449d86c,Male,42,1,28.0,1,1-2 Year,No,41384.0,124.0,175,0.0
6a38f972aecc97d5c44a4cbb,Male,54,1,28.0,0,> 2 Years,Yes,42610.0,26.0,139,1.0
6a38f972aecc97d5c44a6ad2,Male,22,1,32.0,0,< 1 Year,Yes,20600.0,152.0,220,0.0
6a38f973aecc97d5c44aecc6,Female,22,1,30.0,1,< 1 Year,No,28975.0,152.0,25,0.0
6a38f973aecc97d5c44b346e,Male,21,1,46.0,0,< 1 Year,Yes,37557.0,160.0,15,0.0
6a38f972aecc97d5c44a7b25,Female,22,1,15.0,1,< 1 Year,No,28335.0,152.0,160,0.0
6a38f973aecc97d5c44ae15a,Female,26,1,29.0,0,< 1 Year,Yes,38146.0,152.0,22,0.0
6a38f972aecc97d5c449fea1,Male,47,1,28.0,1,1-2 Year,Yes,31820.0,124.0,128,0.0
6a38f973aecc97d5c44adedb,Male,51,1,28.0,1,1-2 Year,No,38331.0,26.0,22,0.0
6a38f973aecc97d5c44ad34a,Male,26,1,30.0,1,< 1 Year,No,36663.0,152.0,19,0.0
6a38f972aecc97d5c449541a,Male,52,1,13.0,1,1-2 Year,No,24770.0,26.0,150,0.0
6a38f972aecc97d5c449708d,Female,37,1,28.0,0,1-2 Year,Yes,40095.0,122.0,228,1.0
6a38f972aecc97d5c449317a,Female,26,1,3.0,1,< 1 Year,No,21607.0,152.0,131,0.0
6a38f973aecc97d5c44af600,Male,63,1,33.0,1,1-2 Year,Yes,45381.0,26.0,211,0.0
6a38f972aecc97d5c44a3a9c,Female,47,1,28.0,0,1-2 Year,Yes,46093.0,26.0,288,0.0
6a38f972aecc97d5c44a7afc,Male,57,1,11.0,0,1-2 Year,Yes,30961.0,124.0,50,0.0
6a38f973aecc97d5c44ad436,Male,56,1,28.0,1,1-2 Year,No,45219.0,26.0,109,0.0
6a38f973aecc97d5c44b0dfd,Female,71,1,21.0,1,1-2 Year,No,24336.0,26.0,227,0.0
6a38f973aecc97d5c44b2b91,Male,41,1,28.0,1,1-2 Year,No,26661.0,124.0,207,0.0
6a38f972aecc97d5c4493b3c,Female,25,1,46.0,0,< 1 Year,Yes,23908.0,26.0,35,0.0
6a38f973aecc97d5c44aab8c,Female,23,1,17.0,1,< 1 Year,No,36405.0,152.0,123,0.0
6a38f972aecc97d5c44a7092,Male,58,1,29.0,1,1-2 Year,No,28399.0,124.0,84,0.0
6a38f972aecc97d5c44a59ac,Female,26,1,33.0,1,< 1 Year,No,18378.0,152.0,176,0.0
6a38f973aecc97d5c44ad654,Male,40,1,19.0,0,1-2 Year,Yes,38190.0,26.0,196,0.0
6a38f972aecc97d5c44a9901,Male,70,1,28.0,0,1-2 Year,No,33076.0,26.0,19,0.0
6a38f972aecc97d5c4497226,Male,23,1,28.0,1,< 1 Year,No,35796.0,152.0,34,0.0
6a38f972aecc97d5c44a6624,Male,20,1,46.0,1,< 1 Year,No,21218.0,160.0,72,0.0
6a38f972aecc97d5c44a59ad,Female,50,1,28.0,1,1-2 Year,No,35065.0,152.0,207,0.0
6a38f972aecc97d5c44a2b6a,Male,37,1,28.0,0,1-2 Year,No,2630.0,124.0,295,0.0
6a38f972aecc97d5c44a16b5,Female,22,1,36.0,0,< 1 Year,No,49382.0,152.0,273,0.0
6a38f972aecc97d5c449572b,Male,24,1,27.0,0,< 1 Year,No,2630.0,160.0,76,0.0
6a38f972aecc97d5c44a1655,Male,60,1,8.0,1,1-2 Year,Yes,47783.0,124.0,28,0.0
6a38f972aecc97d5c44a6fa4,Male,21,1,40.0,0,< 1 Year,Yes,19345.0,152.0,49,1.0
6a38f973aecc97d5c44a9f60,Female,26,1,15.0,1,< 1 Year,No,27198.0,152.0,205,0.0
6a38f973aecc97d5c44aabfc,Male,70,1,28.0,0,1-2 Year,Yes,57292.0,26.0,281,0.0
6a38f972aecc97d5c44a387b,Male,41,1,0.0,0,1-2 Year,Yes,2630.0,11.0,298,0.0
6a38f972aecc97d5c44a41aa,Female,24,1,46.0,1,< 1 Year,No,26130.0,152.0,83,0.0
6a38f972aecc97d5c448f124,Male,21,1,11.0,0,< 1 Year,Yes,33659.0,160.0,264,0.0
6a38f972aecc97d5c4493dd3,Male,35,1,28.0,0,1-2 Year,Yes,31219.0,124.0,191,1.0
6a38f972aecc97d5c449472f,Female,25,1,5.0,1,< 1 Year,No,35348.0,152.0,249,0.0
6a38f972aecc97d5c449cc30,Male,61,1,11.0,1,1-2 Year,No,30505.0,26.0,178,0.0
6a38f972aecc97d5c448ecfa,Female,65,1,2.0,1,1-2 Year,No,2630.0,124.0,101,0.0
6a38f972aecc97d5c448f096,Female,24,1,43.0,1,< 1 Year,No,27409.0,152.0,71,0.0
6a38f972aecc97d5c4491378,Male,47,1,28.0,0,1-2 Year,No,57313.0,26.0,208,0.0
6a38f973aecc97d5c44a9d3f,Male,26,1,28.0,1,< 1 Year,No,81089.0,152.0,171,0.0
6a38f972aecc97d5c44a3e33,Male,43,1,28.0,1,1-2 Year,No,27235.0,26.0,244,0.0
6a38f973aecc97d5c44af193,Male,38,1,49.0,1,1-2 Year,No,33082.0,151.0,295,0.0
6a38f973aecc97d5c44af6d1,Male,21,1,46.0,1,< 1 Year,No,28896.0,152.0,112,0.0
6a38f972aecc97d5c449a665,Female,74,1,28.0,1,1-2 Year,No,50259.0,124.0,159,0.0
